 "YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","MAM","JJA","SON","DJF","ANN"
 2000,50.7,50.5,50.9,48.0,33.4,22.2,28.0,26.3,19.3,23.9,32.5,47.5,44.1,25.5,25.2,50.1,36.1
 2001,50.8,52.0,50.2,48.4,32.4,22.4,28.7,24.1,19.8,28.9,34.1,47.3,43.7,25.1,27.6,50.5.36.6
 2002,50.5,53.6,52.3,51.5,34.3,23.1,27.2,26.7,19.4,22.9,31.7,48.8,46.0,25.7,24.7,55.3,36.8
 2003,54.0,63.0,60.6,52.2,40.7,26.7,28.3,26.3,22.3,19.9,36.9,49.5,51.2,27.1,26.3,52.3,40.0
 2004,58.0,49.3,47.6,51.8,32.4,22.3,31.5,22.5,20.4,21.4,33.8,52.1,43.9,25.4,25.2,54.7,36.9
 2005,53.8,58.3,55.9,47.5,40.5,27.2,28.1,26.4,19.4,21.0,32.8,42.5,48.0,27.2,24.4,52.5,37.8
 2006,57.5,57.4,56.4,44.0,33.0,21.4,29.8,27.1,25.1,20.9,40.3,47.9,44.5,26.1,28.8,51.3,38.4
 2007,46.7,59.4,54.9,48.8,37.5,24.5,28.1,23.6,21.1,14.2,33.4,51.8,47.1,25.4,22.9,54.9,37.0
 2008,57.2,55.7,44.8,46.8,39.1,25.9,30.3,28.1,24.5,27.3,36.8,52.3,43.6,28.1,29.5,54.8,39.1
 2009,54.3,57.7,54.6,57.4,37.8,26.1,24.4,24.3,23.5,17.6,36.9,50.8,49.9,24.9,26.0,54.5,38.8
 2010,50.8,61.9,55.0,48.5,45.8,27.4,28.7,26.9,24.2,19.9,28.2,35.6,49.8,27.7,24.1,48.5,37.7
 2011,49.5,60.5,48.7,47.8,35.6,25.7,27.4,29.3,23.1,30.6,46.2,49.3,44.0,27.5,33.3,54.1,39.5
 2012,52.7,60.2,57.6,49.4,39.1,27.0,26.4,26.3,21.2,22.3,35.7,45.1,48.7,26.6,26.4,50.5,38.6
 2013,47.7,58.5,55.3,52.8,36.4,24.9,28.6,32.6,20.1,24.0,35.4,48.9,48.2,28.7,26.5,53.6,38.8
 2014,54.0,58.0,62.0,54.4,38.6,25.0,29.9,23.4,24.4,31.7,44.5,44.3,51.6,26.1,33.5,0.0,40.8
