"Country","Month","Date","Depth","Day"
"Australia","January",2000-01-01,-0.6,1
"Australia","January",2001-01-01,1.3,1
"Australia","January",2002-01-01,0.1,1
"Australia","January",2003-01-01,0.9,1
"Australia","January",2004-01-01,0.6,1
"Australia","January",2005-01-01,0.7,1
"Australia","January",2006-01-01,1.2,1
"Australia","January",2007-01-01,0.3,1
"Australia","January",2008-01-01,1.3,1
"Australia","January",2009-01-01,0.7,1
"Australia","January",2010-01-01,0.9,1
"Australia","January",2011-01-01,1.1,1
"Australia","January",2012-01-01,0.3,1
"Australia","January",2013-01-01,2,1
"Australia","January",2014-01-01,1.2,1
"Australia","January",2015-01-01,0.4,1
"Australia","January",2016-01-01,0.9,1
"Australia","January",2017-01-01,1.1,1
"Australia","January",2018-01-01,1.5,1
"Australia","January",2019-01-01,2.7,1
"Australia","February",2000-02-01,0.3,1
"Australia","February",2001-02-01,0.6,1
"Australia","February",2002-02-01,-0.4,1
"Australia","February",2003-02-01,1,1
"Australia","February",2004-02-01,1,1
"Australia","February",2005-02-01,0.8,1
"Australia","February",2006-02-01,0.7,1
"Australia","February",2007-02-01,1.8,1
"Australia","February",2008-02-01,-0.4,1
"Australia","February",2009-02-01,0.7,1
"Australia","February",2010-02-01,1.1,1
"Australia","February",2011-02-01,0.1,1
"Australia","February",2012-02-01,0,1
"Australia","February",2013-02-01,1,1
"Australia","February",2014-02-01,0.4,1
"Australia","February",2015-02-01,1.9,1
"Australia","February",2016-02-01,1.3,1
"Australia","February",2017-02-01,0.7,1
"Australia","February",2018-02-01,1,1
"Australia","February",2019-02-01,1.5,1
"Australia","March",2000-03-01,0,1
"Australia","March",2001-03-01,-0.5,1
"Australia","March",2002-03-01,0.4,1
"Australia","March",2003-03-01,-0.4,1
"Australia","March",2004-03-01,0.4,1
"Australia","March",2005-03-01,1,1
"Australia","March",2006-03-01,0.7,1
"Australia","March",2007-03-01,0.7,1
"Australia","March",2008-03-01,0.6,1
"Australia","March",2009-03-01,0.5,1
"Australia","March",2010-03-01,0.4,1
"Australia","March",2011-03-01,-0.7,1
"Australia","March",2012-03-01,-0.8,1
"Australia","March",2013-03-01,0.9,1
"Australia","March",2014-03-01,0.9,1
"Australia","March",2015-03-01,0.8,1
"Australia","March",2016-03-01,1.8,1
"Australia","March",2017-03-01,1.7,1
"Australia","March",2018-03-01,1.1,1
"Australia","March",2019-03-01,1.9,1
"Australia","April",2000-04-01,0.2,1
"Australia","April",2001-04-01,0.3,1
"Australia","April",2002-04-01,1.8,1
"Australia","April",2003-04-01,0.9,1
"Australia","April",2004-04-01,1,1
"Australia","April",2005-04-01,2.5,1
"Australia","April",2006-04-01,-0.5,1
"Australia","April",2007-04-01,1,1
"Australia","April",2008-04-01,-0.3,1
"Australia","April",2009-04-01,0.7,1
"Australia","April",2010-04-01,1.5,1
"Australia","April",2011-04-01,-0.3,1
"Australia","April",2012-04-01,0.3,1
"Australia","April",2013-04-01,1.2,1
"Australia","April",2014-04-01,1.3,1
"Australia","April",2015-04-01,-0.4,1
"Australia","April",2016-04-01,2.1,1
"Australia","April",2017-04-01,0.2,1
"Australia","April",2018-04-01,2.3,1
"Australia","April",2019-04-01,1.3,1
"Australia","May",2000-05-01,-0.7,1
"Australia","May",2001-05-01,0,1
"Australia","May",2002-05-01,1.7,1
"Australia","May",2003-05-01,1.3,1
"Australia","May",2004-05-01,0.4,1
"Australia","May",2005-05-01,1.5,1
"Australia","May",2006-05-01,-0.6,1
"Australia","May",2007-05-01,2.1,1
"Australia","May",2008-05-01,0.7,1
"Australia","May",2009-05-01,0.4,1
"Australia","May",2010-05-01,0.9,1
"Australia","May",2011-05-01,-0.9,1
"Australia","May",2012-05-01,-0.1,1
"Australia","May",2013-05-01,1.4,1
"Australia","May",2014-05-01,2,1
"Australia","May",2015-05-01,0.3,1
"Australia","May",2016-05-01,2.3,1
"Australia","May",2017-05-01,1,1
"Australia","May",2018-05-01,0.6,1
"Australia","May",2019-05-01,0.9,1
