"Country","Month","Date","Depth","Day"
"Afghanistan","January",2000-01-01,1.565,1
"Afghanistan","January",2001-01-01,-0.603,1
"Afghanistan","January",2002-01-01,1.606,1
"Afghanistan","January",2003-01-01,2.479,1
"Afghanistan","January",2004-01-01,2.707,1
"Afghanistan","January",2005-01-01,0.109,1
"Afghanistan","January",2006-01-01,-1.606,1
"Afghanistan","January",2007-01-01,0.431,1
"Afghanistan","January",2008-01-01,-5.553,1
"Afghanistan","January",2009-01-01,1.518,1
"Afghanistan","January",2010-01-01,3.601,1
"Afghanistan","January",2011-01-01,1.179,1
"Afghanistan","January",2012-01-01,-0.583,1
"Afghanistan","January",2013-01-01,1.233,1
"Afghanistan","January",2014-01-01,1.755,1
"Afghanistan","January",2015-01-01,1.943,1
"Afghanistan","January",2016-01-01,3.416,1
"Afghanistan","January",2017-01-01,1.201,1
"Afghanistan","January",2018-01-01,1.996,1
"Afghanistan","January",2019-01-01,2.951,1
"Afghanistan","February",2000-02-01,-0.901,1
"Afghanistan","February",2001-02-01,0.707,1
"Afghanistan","February",2002-02-01,0.985,1
"Afghanistan","February",2003-02-01,1.816,1
"Afghanistan","February",2004-02-01,2.871,1
"Afghanistan","February",2005-02-01,-1.506,1
"Afghanistan","February",2006-02-01,4.725,1
"Afghanistan","February",2007-02-01,1.645,1
"Afghanistan","February",2008-02-01,-2.332,1
"Afghanistan","February",2009-02-01,2.494,1
"Afghanistan","February",2010-02-01,1.212,1
"Afghanistan","February",2011-02-01,0.321,1
"Afghanistan","February",2012-02-01,-3.201,1
"Afghanistan","February",2013-02-01,1.494,1
"Afghanistan","February",2014-02-01,-3.187,1
"Afghanistan","February",2015-02-01,2.699,1
"Afghanistan","February",2016-02-01,2.251,1
"Afghanistan","February",2017-02-01,-0.323,1
"Afghanistan","February",2018-02-01,2.705,1
"Afghanistan","February",2019-02-01,0.086,1
"Afghanistan","March",2000-03-01,-0.267,1
"Afghanistan","March",2001-03-01,1.229,1
