"YEAR","Month","ctd","Day","Date"
2000,"January",7580,1,"2000-01-01"
2000,"February",7840,1,"2000-02-01"
2000,"March",7590,1,"2000-03-01"
2000,"April",6500,1,"2000-04-01"
2000,"May",4740,1,"2000-05-01"
2000,"June",5580,1,"2000-06-01"
2000,"July",5940,1,"2000-07-01"
2000,"August",3690,1,"2000-08-01"
2000,"September",5410,1,"2000-09-01"
2000,"October",5020,1,"2000-10-01"
2000,"November",8190,1,"2000-11-01"
2000,"December",9100,1,"2000-12-01"
2001,"January",7530,1,"2001-01-01"
2001,"February",8040,1,"2001-02-01"
2001,"March",7030,1,"2001-03-01"
2001,"April",6860,1,"2001-04-01"
2001,"May",5380,1,"2001-05-01"
2001,"June",6990,1,"2001-06-01"
2001,"July",4680,1,"2001-07-01"
2001,"August",3740,1,"2001-08-01"
2001,"September",5030,1,"2001-09-01"
2001,"October",5500,1,"2001-10-01"
2001,"November",8000,1,"2001-11-01"
2001,"December",8140,1,"2001-12-01"
2002,"January",7350,1,"2002-01-01"
2002,"February",7320,1,"2002-02-01"
2002,"March",6120,1,"2002-03-01"
2002,"April",5920,1,"2002-04-01"
2002,"May",4880,1,"2002-05-01"
2002,"June",5840,1,"2002-06-01"
2002,"July",4710,1,"2002-07-01"
2002,"August",4310,1,"2002-08-01"
2002,"September",5690,1,"2002-09-01"
2002,"October",7160,1,"2002-10-01"
2002,"November",8370,1,"2002-11-01"
2002,"December",7330,1,"2002-12-01"
2003,"January",7780,1,"2003-01-01"
2003,"February",7450,1,"2003-02-01"
2003,"March",6830,1,"2003-03-01"
2003,"April",6190,1,"2003-04-01"
2003,"May",4540,1,"2003-05-01"
2003,"June",4050,1,"2003-06-01"
2003,"July",5670,1,"2003-07-01"
2003,"August",4150,1,"2003-08-01"
2003,"September",3350,1,"2003-09-01"
2003,"October",6530,1,"2003-10-01"
2003,"November",8320,1,"2003-11-01"
2003,"December",7980,1,"2003-12-01"
2004,"January",8330,1,"2004-01-01"
2004,"February",8140,1,"2004-02-01"
2004,"March",7610,1,"2004-03-01"
2004,"April",5300,1,"2004-04-01"
2004,"May",6830,1,"2004-05-01"
2004,"June",5170,1,"2004-06-01"
2004,"July",5110,1,"2004-07-01"
2004,"August",5320,1,"2004-08-01"
2004,"September",3490,1,"2004-09-01"
2004,"October",6180,1,"2004-10-01"
2004,"November",7570,1,"2004-11-01"
2004,"December",8500,1,"2004-12-01"
2005,"January",7900,1,"2005-01-01"
2005,"February",7790,1,"2005-02-01"
2005,"March",6440,1,"2005-03-01"
2005,"April",6360,1,"2005-04-01"
2005,"May",5990,1,"2005-05-01"
2005,"June",5270,1,"2005-06-01"
2005,"July",4800,1,"2005-07-01"
2005,"August",4350,1,"2005-08-01"
2005,"September",3870,1,"2005-09-01"
2005,"October",5110,1,"2005-10-01"
2005,"November",7770,1,"2005-11-01"
2005,"December",8960,1,"2005-12-01"
2006,"January",7080,1,"2006-01-01"
2006,"February",7740,1,"2006-02-01"
2006,"March",7790,1,"2006-03-01"
2006,"April",6460,1,"2006-04-01"
2006,"May",6430,1,"2006-05-01"
2006,"June",4510,1,"2006-06-01"
2006,"July",3690,1,"2006-07-01"
2006,"August",4470,1,"2006-08-01"
2006,"September",3060,1,"2006-09-01"
2006,"October",5900,1,"2006-10-01"
2006,"November",8340,1,"2006-11-01"
2006,"December",8520,1,"2006-12-01"
2007,"January",7730,1,"2007-01-01"
2007,"February",7480,1,"2007-02-01"
2007,"March",5910,1,"2007-03-01"
2007,"April",5350,1,"2007-04-01"
2007,"May",5080,1,"2007-05-01"
2007,"June",4020,1,"2007-06-01"
2007,"July",3790,1,"2007-07-01"
2007,"August",4300,1,"2007-08-01"
2007,"September",3990,1,"2007-09-01"
2007,"October",6310,1,"2007-10-01"
2007,"November",7660,1,"2007-11-01"
2007,"December",9430,1,"2007-12-01"
2008,"January",7290,1,"2008-01-01"
2008,"February",6970,1,"2008-02-01"
2008,"March",7350,1,"2008-03-01"
2008,"April",7480,1,"2008-04-01"
2008,"May",6390,1,"2008-05-01"
2008,"June",4040,1,"2008-06-01"
