"YEAR","Month","ctd","Day","Date"
2000,"January",5070,1,2000-01-01
2000,"February",5050,1,2000-02-01
2000,"March",5090,1,2000-03-01
2000,"April",4800,1,2000-04-01
2000,"May",3340,1,2000-05-01
2000,"June",2220,1,2000-06-01
2000,"July",2800,1,2000-07-01
2000,"August",2630,1,2000-08-01
2000,"September",1930,1,2000-09-01
2000,"October",2390,1,2000-10-01
2000,"November",3250,1,2000-11-01
2000,"December",4750,1,2000-12-01
2000,"MAM",4410,1,NA
2000,"JJA",2550,1,NA
2000,"SON",2520,1,NA
2000,"DJF",5010,1,NA
2000,"ANN",3610,1,NA
2001,"January",5080,1,2001-01-01
2001,"February",5200,1,2001-02-01
2001,"March",5020,1,2001-03-01
2001,"April",4840,1,2001-04-01
2001,"May",3240,1,2001-05-01
2001,"June",2240,1,2001-06-01
2001,"July",2870,1,2001-07-01
2001,"August",2410,1,2001-08-01
2001,"September",1980,1,2001-09-01
2001,"October",2890,1,2001-10-01
2001,"November",3410,1,2001-11-01
2001,"December",4730,1,2001-12-01
2001,"MAM",4370,1,NA
2001,"JJA",2510,1,NA
2001,"SON",2760,1,NA
2001,"DJF",5050,1,NA
2001,"ANN",3660,1,NA
2002,"January",5050,1,2002-01-01
2002,"February",5360,1,2002-02-01
2002,"March",5230,1,2002-03-01
2002,"April",5150,1,2002-04-01
2002,"May",3430,1,2002-05-01
2002,"June",2310,1,2002-06-01
2002,"July",2720,1,2002-07-01
2002,"August",2670,1,2002-08-01
2002,"September",1940,1,2002-09-01
2002,"October",2290,1,2002-10-01
2002,"November",3170,1,2002-11-01
2002,"December",4880,1,2002-12-01
2002,"MAM",4600,1,NA
2002,"JJA",2570,1,NA
2002,"SON",2470,1,NA
2002,"DJF",5530,1,NA
2002,"ANN",3680,1,NA
2003,"January",5400,1,2003-01-01
2003,"February",6300,1,2003-02-01
2003,"March",6060,1,2003-03-01
2003,"April",5220,1,2003-04-01
2003,"May",4070,1,2003-05-01
2003,"June",2670,1,2003-06-01
2003,"July",2830,1,2003-07-01
2003,"August",2630,1,2003-08-01
2003,"September",2230,1,2003-09-01
2003,"October",1990,1,2003-10-01
2003,"November",3690,1,2003-11-01
2003,"December",4950,1,2003-12-01
2003,"MAM",5120,1,NA
2003,"JJA",2710,1,NA
2003,"SON",2630,1,NA
2003,"DJF",5230,1,NA
2003,"ANN",4000,1,NA
2004,"January",5800,1,2004-01-01
2004,"February",4930,1,2004-02-01
2004,"March",4760,1,2004-03-01
2004,"April",5180,1,2004-04-01
2004,"May",3240,1,2004-05-01
2004,"June",2230,1,2004-06-01
2004,"July",3150,1,2004-07-01
2004,"August",2250,1,2004-08-01
2004,"September",2040,1,2004-09-01
2004,"October",2140,1,2004-10-01
2004,"November",3380,1,2004-11-01
2004,"December",5210,1,2004-12-01
2004,"MAM",4390,1,NA
2004,"JJA",2540,1,NA
2004,"SON",2520,1,NA
2004,"DJF",5470,1,NA
2004,"ANN",3690,1,NA
2005,"January",5380,1,2005-01-01
2005,"February",5830,1,2005-02-01
2005,"March",5590,1,2005-03-01
2005,"April",4750,1,2005-04-01
2005,"May",4050,1,2005-05-01
2005,"June",2720,1,2005-06-01
2005,"July",2810,1,2005-07-01
2005,"August",2640,1,2005-08-01
